Name	Country	Sector	Industry	Desc	Departments	City	Year	Size	Url	Odsets	TW	financials
Delhaize	Belgium	For-profit	Consumer services	Delhaize is a Belgium-based food retailer.		Brussels	1867	1000+	http://delhaizegroup.com	Demographics and social - null - national
We Open Data	Belgium	For-profit	Data/information technology	We Open Data enables Open Data uptake by helping public government opening up data and supporting private companies in integrating it with their current databases.		Ghent	2015	1-10	http://weopendata.com/	Demographics and social - Belgium - National
C42	Czech Republic	For-profit	Data/information technology	C42 develops solutions in area of Business Intelligence and Open Data.		Prague	2009	11-50	http://www.c42.cz	Finance - Slovak Republic - National
Javelin	Czech Republic	For-profit	Research and consulting	Javelin is a data integration software and solutions provider for mass data processing that offers data integration consulting services and custom software development.		Prague	2012	1-10	http://www.javlininc.com/en/
Vasmajetek	Czech Republic	For-profit	Housing/real estate	A comprehensive database with information on auctions - auctions and estate sales state - counties - cities and municipalities and executory confiscated.		Prague	2013	1-10	http://www.vasmajetek.cz/	Housing - Czech Republic - local
Boliga	Denmark	For-profit	Housing/real estate	Boliga is a Danish real estate portal.		Copenhagen	2007	11-50	http://www.boliga.dk	Geospatial/mapping - Denmark - National
K17	Denmark	For-profit	Data/information technology	Uses Behavioural Science and evidence for solving business problems.		Copenhagen		1-10	http://kl7.dk/en	Public safety - Denmark - Local
Septima	Denmark	For-profit	Geospatial/mapping	Septima provides consulting - system development - services and products that ensure the optimal use of spatial data.		Copenhagen	2013	11-50	http://www.septima.dk/	Geospatial/mapping - Denmark - Local
Instats	Estonia	For-profit	Data/information technology	instats.co is a web service helping knowledge workers that need to find and visualize massive datasets in order to easily create insightful presentations.		Tallinn		1-10	http://www.instats.co/	Other - National
3Tier (Europe)	Finland	For-profit	Environment	3TIER is a global environmental and industrial measurement company providing weather-driven renewable energy risk assessment and forecasting for wind - solar - and hydro power projects.		Helsinki	2012	11-50	http://www.3tier.com/en/europe/	Other - Finland - National
BlindSquare	Finland	For-profit	Geospatial/mapping	BlindSquare is a GPS-app developed for the blind or visually impaired. It describes the environment - announces points of interest and street intersections as you travel.		Helsinki		1-10	http://blindsquare.com/	Geospatial/mapping - null - national
Essentia Solutions	Finland	For-profit	Data/information technology	Simple and elegant solutions for apps.		Helsinki		1-10	http://www.essentia.fi/	Transportation - Finland - local
Flo Apps	Finland	For-profit	Data/information technology	Flo Apps create responsive web and data visualizations		Helsinki		1-10	http://www.floapps.com/	Other - Finland - national
Hahmota Oy	Finland	For-profit	Media and communications	The FinanceTree is their a data visualisation tool that turns your financial data - such as income statements and balance sheets - into captivating visualisations.		Helsinki		1-10	http://www.veropuu.fi/	Government operations - Finland - national
Sanoma Oyj	Finland	For-profit	Media and communications	Sanoma News is Finlandâ€™s leading newspaper publisher and online media operator.		Helsinki	1999	1000+	https://www.sanoma.com
Suomen Asiakastieto Oy	Finland	For-profit	Business and legal services	Asiakastieto is a reliable - impartial producer of data - which secures the possibilities of both enterprises and individuals to act in matters relating to credits and trade.		Helsinki	1963	51-200	http://www.asiakastieto.fi/	Business - Finland - national
vCloud'N'Sci.fi	Finland	For-profit	Data/information technology	Algorithms as a Service		Helsinki		1-10	http://cloudnsci.fi/	Other - Finland - Local
CommoPrices	France	For-profit	Agriculture	CommoPrices is a web portal of business intelligence that publishes over 1600 commodity prices.		Paris	2014	11-50	https://commoprices.com/	Other - France - National
Data Publica	France	For-profit	Data/information technology	Data Publica provides data services such as data on demand - data as a service - data augmentation - customized dashboards and a free public data directory rich of more than 15 800 datasets from public and private editors.		Paris	2011	11-50	http://www.data-publica.com/	Demographics and social - France - national
Groupe EDF	France	For-profit	Energy	The EDF group is active in all major electricity businesses.		Paris		1000+	http://www.edf.com/	Energy - France - National
Groupe Revue Fiduciaire	France	For-profit	Business and legal services	Groupe Revue Fiduciaire provides solutions for professionals or businesses in range of areas including information services - traning - software and online services.		Paris	1917	201-1000	http://corporate.grouperf.com/	Demographics and social - France - National
J ++ Paris-Berlin	France	For-profit	Media and communications	J ++ Paris-Berlin shares the conviction that data can help improve journalism - public discourse and decision-making and we want to help you unlock that potential.		Paris		1-10	http://www.jplusplus.org
Le Monde	France	For-profit	Media and communications	Les DÃ©codeurs at Le Monde - a French daily newspaper - check the declarations - assertions and rumors of all kinds		Paris		1-10	http://www.lemonde.fr/les-decodeurs/	201-1000
Meteo Protect	France	For-profit	Insurance	Meteo Protect combines Big Data - climatology - and proprietary pricing models to protect companies and institutions from financial losses caused by unfavorable weather conditions.		Paris	2011	11-50	http://www.meteoprotect.com/	Weather - null - national
Modulaweb	France	For-profit	Research and consulting	Modulaweb works uniquely with OpenSource software and/or producing or consuming Open Data - as well as (h)ac(k)tivism and lobbying to see more data opened.		Montpellier	2009	1-10	https://modulaweb.fr	Science and research - France - Local
Open Data Services	France	For-profit	Data/information technology	Open Data Services helps companies use open data to build new products and services. It provides services around searching data - storage - data mining and dataÂ visualization.		Lyon	2015	1-10	http://opendataservices.fr/data-plus/notre-offre/diagramme-de-l-offre
OpenDataSoft	France	For-profit	Data/information technology	OpenDataSoft powers Open Data portals and Smart City Data Hubs across the world.		Paris	2011	11-50	https://www.opendatasoft.com/	Health/healthcare - France - National
Orange France	France	For-profit	Telecommunications/internet service providers (ISPs)	Orange France is one of the main telecommunications providers in the country.		Paris	1988	1000+	http://www.orange.fr
PlumeLabs	France	For-profit	Environment	PlumeLabs makes air pollution information accessible and easy to understand - all around the world.		Paris	2014	1-10	https://www.plumelabs.com	Environment - null - national
Questel	France	For-profit	Consumer services	Questel is a SaaS (Software as a Service) provider dedicated to Intellectual Property. Our solutions cover the entire Innovation Lifecycle - from idea to product.		Paris	1979	51-200	https://www.questel.com	Legal - United States - national
SB Consulting for Development	France	For-profit	Research and consulting	SB Consulting (SBC4D) specializes in research & development - program management and execution in the ICTD sector.		Toulouse		1-10	http://www.sbc4d.com/	Other - Chile - National
Snips	France	For-profit	Data/information technology	By analyzing a person's context - Snips can predict what people need to do with their devices - enabling faster - more ubiquitous access to all their services.		Paris	2013	1-10	http://snips.net/	Transportation - France - Local
Buddycloud Ltd	Germany	For-profit	Data/information technology	We build the open source tools and services to help developers add user - group and social messaging to their apps.		Berlin	2014	1-10	http://buddycloud.com	Demographics and social - Germany - National
GraphDefined GmbH	Germany	For-profit	Data/information technology	GraphDefined helps customers not only to open up their own data - but also consume and improve external open data a in a secure and privacy aware manner.		Jena	2014	1-10	http://www.graphdefined.com	Energy - Germany - National
Implisense	Germany	For-profit	Business and legal services	Implisense offers a Search For New Business software to discover B2B leads in the German market. Customers can use it's software-as-a-service to analyse their existing customer base and to get recommendations for new leads and partners.		Berlin	2013	11-50	http://www.implisense.com	Geospatial/mapping - Germany - Local
J ++ Cologne	Germany	For-profit	Media and communications	J ++ Cologne works with media companies - train journalists on how to work with data and to create data-driven news projects and apps.		Cologne		1-10	http://www.jplusplus.org
Motion Intelligence	Germany	For-profit	Geospatial/mapping	Motion Intelligence helps business and public organizations harvest the power of advanced spatial analysis.		Berlin		1-10	http://www.route360.net	Transportation - Germany - Local
OpenDataCity	Germany	For-profit	Media and communications	Open Data City is an platform for data journalism and data visualisations.		Berlin	2010	1-10	http://OpenDataCity	Arts and culture - Germany - Local
PTV Group	Germany	For-profit	Transportation and logistics	PTV Group plans and optimises everything that moves people and goods worldwide â€“ be it transport routes - distribution structures or private and public transport.		Karlsruhe	1979	201-1000	http://www.ptvgroup.com	Transportation - Germany - National
Sona	Germany	For-profit	Mining/manufacturing	The Sona Group manufactures components for the automotive industry and has engineering capabilities in the areas of machining and assembly - precision forging - cold & hot forging and heat treatment.			1987	1-10	http://www.sonagroup.com	Housing - Germany - national
ally	Germany	For-profit	Transportation and logistics	Â allyÂ is an urban mobility app that lets you compare timetables - prices and durations for different routes and modes of transport.		Berlin	2014	1-10	http://www.allryder.com/	Transportation - Germany - Local
mapegy	Germany	For-profit	Data/information technology	Mapegy (from: mapping data for your strategy) helps high-tech companies make more informed decisions with technology insights from global science - patents - press - web and social media.		Berlin	2011	11-50	http://www.mapegy.com
viomedo	Germany	For-profit	Healthcare	viomedo is the first online platform in Germany that gives patients full transparency into innovative treatment options and allows them to consider the participation in a clinical trial that they might benefit from.		Berlin		1-10	http://www.viomedo.de	Science and research - null - null
virtualcitySYSTEMS	Germany	For-profit	Data/information technology	virtualcitySYSTEMS supports clients according to their needs with products and customized system solutions for the creation - management - and publication of virtual city models.		Berlin	2005	11-50	http://www.virtualcitysystems.de
Mapsolutions	Hungary	For-profit	Geospatial/mapping	Creator of otthonterkep.hu - a map-based database of real estate for sale/to rent.		Budapest	2014	1-10	http://otthonterkep.hu	Housing - Hungary - Local
Aianalytics	Ireland	For-profit	Data/information technology	Applied Intelligence Analytics develops customer-tailored data analytics software solutions - by identifying business risks and providing actionable insights for risk management.		Dublin	2013	1-10	http://www.aianalytics.ie/index.html
Indigo connect	Ireland	For-profit	Tourism	Indigo-Connect is a transfer distribution network - with a simple goal of making it as easy as possible to buy and sell an airport-to-city transfer - whether municipal services - trains - taxis - shuttles or private hire.		Dublin		11-50	http://www.indigo-connect.com/	Transportation - null - Null
Pharmapod	Ireland	For-profit	Healthcare	Pharmapod is a Global Reporting & Learning System (#GRLS) for pharmacists to improve standards and patient safety across healthcare systems.		Dublin	2011	1-10	http://www.pharmapodhq.com/	Health/healthcare - Ireland - national
The Irish Times	Ireland	For-profit	Media and communications	The Irish Times is an Irish daily broadsheet newspaper.			1859	201-1000	http://www.irishtimes.com/
Xpreso	Ireland	For-profit	Business and legal services	Xpreso is an app that aims to bridge the gap between the customer - the delivery company and the online retailer.		Dublin	2013	1-10	http://web.xpreso.com/	Geospatial/mapping - Ireland - Null
Lynx	Italy	For-profit	Research and consulting	Lynx aims to offer a wide range of highly personalized services to companies that wish to innovate through the use of open source software and a better knowledge management - from distance learning up to the use of open data.		Rome	1995	1-10	http://www.lynxlab.com/
Oimmei	Italy	For-profit	Media and communications	Oimmei is a passionate digital studio with the goal to help you to grow and create beautiful products.		Livorno	2013	1-10	http://www.oimmei.com/	Arts and culture - Italy - local
Twinbit	Italy	For-profit	Data/information technology	Twinbit is a group of experts driven by the desire to provide the market with innovative IT solutions		Sesto Calende	2011	1-10	http://www.twinbit.it/
evodevo	Italy	For-profit	Data/information technology	Evodevo works on innovative solutions using artificial intelligence and knowledge management techniques.		Rome	2007	1-10	http://www.evodevo.it/en/
NITEC	Kazakhstan	For-profit	Data/information technology	National Information Technologies Company (NITEC) facilitate the building up of reliable - efficient - and customer-focused public administration system through applying service-specific - organizational and information technologies.		Astana	2000	1-10	http://www.nitec.kz/
FusionWorks	Moldova	For-profit	Data/information technology	FusionWorks is a Moldovan IT Solutions company.		Chisinau	2009	11-50	http://fusionworks.md/	Education - Moldova - Republic of - National
Achmea	Netherlands	For-profit	Insurance	Achmea is a leading insurance company based in the Netherlands that provides customers with Health - Life and Non-life insurance.		Zeist	1811	1000+	https://www.achmea.nl	Demographics and social - null - Null
FrieslandCampina	Netherlands	For-profit	Consumer services	FrieslandCampina is a Dutch dairy cooperative.		Amersfoort	2008	1000+	www.frieslandcampina.com	Agriculture - null - Null
Fugro	Netherlands	For-profit	Energy	Fugro N.V. provides geotechnical - survey - subsea - and geoscience services for clients - typically oil and gas - telecommunications cable - and infrastructure companies.		Leidschendam	1962	1000+	www.fugro.com	Geospatial/mapping - null - national
GoOV B.V.	Netherlands	For-profit	Transportation and logistics	Goov is a smartphone app that helps people who struggle to travel independently on public transport.		Utrecht		1-10	http://www.go-ov.nl/	Transportation - Netherlands - national
Heineken	Netherlands	For-profit	Consumer services	Heineken International is a Dutch brewing company.		Amsterdam	1864	1000+	http://www.theheinekencompany.com/	Weather - null - Null
KPMG	Netherlands	For-profit	Research and consulting	KPMG is a large global professional services company providing audit - tax and advisory services.		Amstelveen	2002	1000+	http://www.kpmg.com
LayAr	Netherlands	For-profit	Data/information technology	LayAr's mission is to provide the highest quality tools and services for augmented reality and interactive print.		Amsterdam	2009	11-50	https://www.layar.com	Housing - Norway - local
Localfocus	Netherlands	For-profit	Media and communications	The LocalFocus data management platform makes it easy to get new insights from datasets and to share them with colleagues and audience.		Amsterdam	2013	1-10	http://www.localfocus.eu/
Philips	Netherlands	For-profit	Consumer services	Royal Philips is a diversified health and well-being company - focused on improving peopleâ€™s lives through innovation in the areas of healthcare - consumer lifestyle and lighting.		Amsterdam	1891	1000+	http://www.philips.nl	Health/healthcare - Netherlands - Null
Stedin	Netherlands	For-profit	Energy	Stedin provides safe and continuous transport of gas and electricity to more than two million customers in and around three of the four big cities in Randstad - as well as the Rotterdam harbour area.		Rotterdam		1000+	https://www.stedin.net	Geospatial/mapping - null - national
Manufactura Independente	Portugal	For-profit	Media and communications	Manufactura Independente is a design studio focused on free and open source software - libre culture and critical engagement with design tools.		Porto		1-10	http://blog.manufacturaindependente.org/	Government operations - Portugal - National
CJSC Gosbook	Russia	For-profit	Data/information technology	CJSC Gosbook is a medium-size IT-company that develops solutions for government and the private sector.Â		Moscow	2009	11-50	http://gblab.ru
Infometer ("IRSI" LLC)	Russia	For-profit	Research and consulting	Infometer audits - advises and refines Â the implementation of requirements for Open Data publication.		Saint Petersburg	2008	11-50	http://infometer.org	Finance - Russian Federation - Local
2GIS	Russian Federation	For-profit	Geospatial/mapping	2GIS is a city information service combined with a map.		Novosibirsk	1999	1000+	http://2gis.ru	Transportation - Russian Federation - Local
Archy Web Studio	Russian Federation	For-profit	Data/information technology	Archy Web Studio find solutions by developing programs - websites and mobile applications.		Novosibirsk		1-10	http://www.archystudio.ru/	Health/healthcare - Russian Federation - National
BIZNEX	Russian Federation	For-profit	Business and legal services	BIZNEX purpose is to increase transparency and trust in business with the help of companiesâ€™ data. Our mission is to spread companiesâ€™ data across the world - to make it available for small and medium businesses.		Moscow		1-10	http://www.biznex.co	Business - Russian Federation - national
BNet	Russian Federation	For-profit	Arts and culture	BNet has created Cultural Routes - an app showing information about museums in Moscow.		Moscow		1-10	http://culturalroutes.ru
Big City Media	Russian Federation	For-profit	Media and communications	Big City is a site about how to make life better in the big cities. Big City focuses on the economy - technology development - and the social fabric of cities - urban studies - and news that affect city life.		Novosibirsk	2002	201-1000	http://bg.ru	Other - Russian Federation - Local
Datalabs	Russian Federation	For-profit	Data/information technology	Data Mining Labs provides leading expertise in data analytics with top-notch solutions that boost business efficiency.		Saint Petersburg		1-10	http://www.dmlabs.org
